ncppb_number	other_references	script_included_identifiers	llm_expected_identifiers	missing_from_script	extra_in_script	comparison_verdict	llm_notes
NCPPB 4013	The donor reference is 6 This isolate is also in the collections; ICMP 10007	ICMP 10007	ICMP 10007			match	Script identifier is not a supported prefix+number code in the free text.
NCPPB 4014	The donor reference is SB-K					match	
NCPPB 4015	The donor reference is M-9	M 9	M 9			match	Includes one-letter local strain code(s).
NCPPB 4031	The donor reference is 972200 This isolate was isolated by A. Aspin The source of this isolate was ADAS 97001669	ADAS 97001669	ADAS 97001669			match	Script identifier is not a supported prefix+number code in the free text.
NCPPB 4032	The donor reference is 972270 This isolate was isolated by A. Aspin					needs_llm_review	Script identifier is not a supported prefix+number code in the free text.
NCPPB 4033	The donor reference is 700a This isolate was isolated by ex. F. Sahin					needs_llm_review	Script identifier is not a supported prefix+number code in the free text.
NCPPB 4034	The donor reference is 701a This isolate was isolated by ex. F. Sahin					needs_llm_review	Script identifier is not a supported prefix+number code in the free text.
NCPPB 4037	The donor reference is 981703 This isolate was isolated by A Aspin					needs_llm_review	Script identifier is not a supported prefix+number code in the free text.
NCPPB 4058	The donor reference is 985855 This isolate was isolated by H. Stanford					needs_llm_review	Script identifier is not a supported prefix+number code in the free text.
NCPPB 4181	The donor reference is 463					needs_llm_review	Script identifier is not a supported prefix+number code in the free text.
NCPPB 4183	The donor reference is PD2806 This isolate is also in the collections; 17065 This isolate was isolated by JD Janse	PD 2806	PD 2806			match	
NCPPB 4210	This isolate was isolated by Helena Stanford					match	
NCPPB 4231	The donor reference is 2011627 This isolate was isolated by H. Stanford					needs_llm_review	Script identifier is not a supported prefix+number code in the free text.
NCPPB 4232	The donor reference is 2011626 This isolate was isolated by H. Stanford					needs_llm_review	Script identifier is not a supported prefix+number code in the free text.
NCPPB 4321	The donor reference is XV938 This isolate is also in the collections; DSM 18975	DSM 18975; XV 938	DSM 18975; XV 938			match	
NCPPB 4322	The donor reference is XV1220	XV 1220	XV 1220			match	
NCPPB 4323	The donor reference is XV444	XV 444	XV 444			match	
NCPPB 4324	The donor reference is XV448	XV 448	XV 448			match	
NCPPB 4326	The donor reference is Xcz A5	A 5	A 5			match	Includes one-letter local strain code(s).
NCPPB 4340	The donor reference is UN-20506424 This isolate was isolated by Helena Stanford The source of this isolate was Diagnosis lab. Ex Zinnia material	UN 20506424	UN 20506424			match	
NCPPB 4341	The donor reference is VdM4 This isolate is also in the collections; LMG 471 This isolate was isolated by M.Beramis The source of this isolate was LMG	LMG 471; VDM 4	LMG 471; VDM 4			match	
NCPPB 4342	The donor reference is Dsk 129 This isolate is also in the collections; ICMP 8923, LMG 12141 This isolate was isolated by M. de Kam The source of this isolate was ICMP	DSK 129; ICMP 8923; LMG 12141	DSK 129; ICMP 8923; LMG 12141			match	
NCPPB 4343	The donor reference is 1601-1 This isolate is also in the collections; ICMP 12545, CFBP 1976,Samson 1601.1, LMG 947 This isolate was isolated by R.Sampson The source of this isolate was ICMP	CFBP 1976; ICMP 12545; LMG 947; SAMSON 1601.1	CFBP 1976; ICMP 12545; LMG 947		SAMSON 1601.1	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 4344	The donor reference is 03-29991 This isolate is also in the collections; ICMP 9991 This isolate was isolated by K.Luo The source of this isolate was ICMP	ICMP 9991	ICMP 9991			match	Script identifier is not a supported prefix+number code in the free text.
NCPPB 4345	The donor reference is 1 This isolate is also in the collections; ICMP 8306. LMG 9043 This isolate was isolated by R. Easwaramurthy The source of this isolate was ICMP	ICMP 8306; LMG 9043	ICMP 8306; LMG 9043			match	Script identifier is not a supported prefix+number code in the free text.
NCPPB 4346	The donor reference is G2 This isolate is also in the collections; ICMP 8788 This isolate was isolated by Z. Fang The source of this isolate was ICMP	G 2; ICMP 8788	G 2; ICMP 8788			match	Includes one-letter local strain code(s).
NCPPB 4347	The donor reference is Ma 2 This isolate is also in the collections; ICMP 11536, ATCC 51262 This isolate was isolated by M. Goto The source of this isolate was ICMP	ATCC 51262; ICMP 11536; MA 2	ATCC 51262; ICMP 11536; MA 2			match	
NCPPB 4348	This isolate is also in the collections; ICMP 8949, ITCC This isolate was isolated by Durgapal. J.C. The source of this isolate was ICMP	ICMP 8949	ICMP 8949			match	
NCPPB 4349	The donor reference is B6 This isolate is also in the collections; ICMP 9627, ATCC 49152 This isolate was isolated by L.E.Claflin The source of this isolate was ICMP	ATCC 49152; B 6; ICMP 9627	ATCC 49152; B 6; ICMP 9627			match	Includes one-letter local strain code(s).
NCPPB 4350	The donor reference is X259 (87-56A) This isolate is also in the collections; LMG 8678, ICMP 9513, ATCC 700187 This isolate was isolated by A.R. Chase The source of this isolate was ICMP	ATCC 700187; ICMP 9513; LMG 8678; X 259	ATCC 700187; ICMP 9513; LMG 8678; X 259			match	Includes one-letter local strain code(s).
NCPPB 4351	The donor reference is FC1 This isolate is also in the collections; ICMP 9261, IBSF 575 This isolate was isolated by J.R.Neto The source of this isolate was ICMP	FC 1; IBSF 575; ICMP 9261	FC 1; IBSF 575; ICMP 9261			match	
NCPPB 4352	The donor reference is Zo2 This isolate is also in the collections; ICMP 8787, LMG 9060 This isolate was isolated by X.Z.Ren The source of this isolate was ICMP	ICMP 8787; LMG 9060; ZO 2	ICMP 8787; LMG 9060; ZO 2			match	
NCPPB 4353	The donor reference is TC1 This isolate is also in the collections; ICMP 6774, LMG 8684, NZRCC 10488 This isolate was isolated by K.Uehara The source of this isolate was ICMP	ICMP 6774; LMG 8684; NZRCC 10488; TC 1	ICMP 6774; LMG 8684; NZRCC 10488; TC 1			match	
NCPPB 4355	The donor reference is CFBP 6369 This isolate is also in the collections; CFBP 6369 The source of this isolate was CFBP	CFBP 6369	CFBP 6369			match	
NCPPB 4356	The donor reference is CFBP 4188 This isolate is also in the collections; CFBP 4188, ICMP 16775 The source of this isolate was CFBP	CFBP 4188; ICMP 16775	CFBP 4188; ICMP 16775			match	
NCPPB 4363	The donor reference is ICMP 2415 This isolate is also in the collections; ICMP 2415, CFBP 7260 This isolate was isolated by J.YOUNG	CFBP 7260; ICMP 2415	CFBP 7260; ICMP 2415			match	
NCPPB 4364	The donor reference is ICMP 6465 This isolate is also in the collections; ICMP 6465, CFBP 7262 This isolate was isolated by J.YOUNG	CFBP 7262; ICMP 6465	CFBP 7262; ICMP 6465			match	
NCPPB 4367	The donor reference is ICMP 16473 This isolate is also in the collections; ICMP 16473 This isolate was isolated by J.YOUNG	ICMP 16473	ICMP 16473			match	
NCPPB 4372	The donor reference is 618 This isolate is also in the collections; IBSBF 618 This isolate was isolated by J.Neto The source of this isolate was IBSBF	IBSBF 618	IBSBF 618			match	Script identifier is not a supported prefix+number code in the free text.
NCPPB 4373	The donor reference is 1472 This isolate is also in the collections; IBSBF 1472 This isolate was isolated by V.A.Malavolta The source of this isolate was IBSBF	IBSBF 1472	IBSBF 1472			match	Script identifier is not a supported prefix+number code in the free text.
NCPPB 4374	The donor reference is 1497 This isolate is also in the collections; IBSBF 1497 This isolate was isolated by J.Neto The source of this isolate was IBSBF	IBSBF 1497	IBSBF 1497			match	Script identifier is not a supported prefix+number code in the free text.
NCPPB 4375	The donor reference is 1594 This isolate is also in the collections; IBSBF 1594, FDC 012 This isolate was isolated by R.P.Leite Jr. The source of this isolate was IBSBF	FDC 012; IBSBF 1594	FDC 012; IBSBF 1594			match	Script identifier is not a supported prefix+number code in the free text.
NCPPB 4376	The donor reference is 1925 This isolate is also in the collections; IBSBF 1925, LMG 9325 This isolate was isolated by D.W.Gabriel The source of this isolate was IBSBF	IBSBF 1925; LMG 9325	IBSBF 1925; LMG 9325			match	Script identifier is not a supported prefix+number code in the free text.
NCPPB 4377	The donor reference is 1583 This isolate is also in the collections; IBSBF 1583, Xc 90-78-4-3 This isolate was isolated by B.I.Canteros The source of this isolate was IBSBF	IBSBF 1583; XC 90-78-4-3	IBSBF 1583; XC 90-78-4-3			match	Script identifier is not a supported prefix+number code in the free text.
NCPPB 4378	The donor reference is 034/LRA/05 This isolate is also in the collections; CFBP 7166 The source of this isolate was Valentine Aritua	CFBP 7166; LRA 05	CFBP 7166; LRA 05			match	Script also includes unsupported identifier(s).
NCPPB 4379	The donor reference is KY44 The source of this isolate was Valentine Aritua	KY 44	KY 44			match	
NCPPB 4380	The donor reference is 038/KBA/05 The source of this isolate was Valentine Aritua	KBA 05	KBA 05			match	Script also includes unsupported identifier(s).
NCPPB 4381	The donor reference is 014/LUW/05 The source of this isolate was Valentine Aritua	LUW 05	LUW 05			match	Script also includes unsupported identifier(s).
NCPPB 4383	The donor reference is 071/WSK/05 The source of this isolate was Valentine Aritua	WSK 05	WSK 05			match	Script also includes unsupported identifier(s).
NCPPB 4384	The donor reference is 041/NSG/05 The source of this isolate was Valentine Aritua	NSG 05	NSG 05			match	Script also includes unsupported identifier(s).
NCPPB 4385	The donor reference is 031/KIB/05 The source of this isolate was Valentine Aritua	KIB 05	KIB 05			match	Script also includes unsupported identifier(s).
NCPPB 4386	The donor reference is 005/WKS/05 This isolate is also in the collections; CFBP 7167 The source of this isolate was Valentine Aritua	CFBP 7167; WKS 05	CFBP 7167; WKS 05			match	Script also includes unsupported identifier(s).
NCPPB 4387	The donor reference is IMI 392223 This isolate is also in the collections; CFBP 7168 The source of this isolate was Valentine Aritua	CFBP 7168; IMI 392223	CFBP 7168; IMI 392223			match	
NCPPB 4388	The donor reference is IMI 392224 This isolate is also in the collections; CFBP 7169 The source of this isolate was Valentine Aritua	CFBP 7169; IMI 392224	CFBP 7169; IMI 392224			match	
NCPPB 4389	The donor reference is IMI 393640 This isolate is also in the collections; CFBP 7170 The source of this isolate was Valentine Aritua	CFBP 7170; IMI 393640	CFBP 7170; IMI 393640			match	
NCPPB 4390	The donor reference is IMI 393641 This isolate is also in the collections; CFBP 7171 The source of this isolate was Valentine Aritua	CFBP 7171; IMI 393641	CFBP 7171; IMI 393641			match	
NCPPB 4391	The donor reference is IMI 393646 This isolate is also in the collections; CFBP 7172 The source of this isolate was Valentine Aritua	CFBP 7172; IMI 393646	CFBP 7172; IMI 393646			match	
NCPPB 4392	The donor reference is 394051 This isolate is also in the collections; CFBP 7173 The source of this isolate was Valentine Aritua	CFBP 7173	CFBP 7173			match	Script identifier is not a supported prefix+number code in the free text.
NCPPB 4393	The donor reference is 394052 This isolate is also in the collections; CFBP 7174 The source of this isolate was Valentine Aritua	CFBP 7174	CFBP 7174			match	Script identifier is not a supported prefix+number code in the free text.
NCPPB 4394	The donor reference is 354053 This isolate is also in the collections; CFBP 7175 The source of this isolate was Valentine Aritua	CFBP 7175	CFBP 7175			match	Script identifier is not a supported prefix+number code in the free text.
NCPPB 4395	This isolate is also in the collections; CFBP 7176 The source of this isolate was Valentine Aritua	CFBP 7176	CFBP 7176			match	
NCPPB 4397	The donor reference is ISBF 594 This isolate is also in the collections; ICMP 9278 This isolate was isolated by R.Neto The source of this isolate was ISBF	ICMP 9278; ISBF 594	ICMP 9278; ISBF 594			match	
NCPPB 4398	The donor reference is ISBF 595 This isolate is also in the collections; ICMP 9279 This isolate was isolated by R.Neto The source of this isolate was ISBF	ICMP 9279; ISBF 595	ICMP 9279; ISBF 595			match	
NCPPB 4399	The donor reference is ICMP 15863 This isolate is also in the collections; ICMP 15863 This isolate was isolated by I.Harvey The source of this isolate was ICMP	ICMP 15863	ICMP 15863			match	
NCPPB 4402	The donor reference is LMG 8237 This isolate is also in the collections; PD 772, LMG 8237 This isolate was isolated by P.D.Jaanse The source of this isolate was LMG	LMG 8237; PD 772	LMG 8237; PD 772			match	
NCPPB 4403	The donor reference is ICMP 217-62 This isolate is also in the collections; ICMP 217, ATCC 9924 This isolate was isolated by R. Weindling The source of this isolate was ICMP	ATCC 9924; ICMP 217; ICMP 217-62	ATCC 9924; ICMP 217; ICMP 217-62			match	
NCPPB 4404	The donor reference is LMG 9057 This isolate is also in the collections; ICMP 7466; ITCC P33, LMG 9057 This isolate was isolated by Y.Kulkani The source of this isolate was LMG	ICMP 7466; ITCC P33; LMG 9057; P 33	ICMP 7466; ITCC P33; LMG 9057		P 33	mismatch	
NCPPB 4405	The donor reference is LMG 8273 This isolate is also in the collections; ICMP 6482, Latch PRGRQ This isolate was isolated by G.Latch The source of this isolate was LMG	ICMP 6482; LMG 8273	ICMP 6482; LMG 8273			match	
NCPPB 4407	The donor reference is LMG 476 This isolate is also in the collections; Beramis 6, VdM9 The source of this isolate was LMG	BERAMIS 6; LMG 476; VDM 9	LMG 476; VDM 9		BERAMIS 6	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 4409	The donor reference is LMG 19145 This isolate is also in the collections; LMG 19145, ISPAVE-B-641, PD 2780,SWINGS R-5214 The source of this isolate was LMG	B 641; ISPAVE-B 641; LMG 19145; PD 2780; R 5214	ISPAVE-B 641; LMG 19145; PD 2780; R 5214		B 641	mismatch	Includes one-letter local strain code(s).
NCPPB 4410	The donor reference is 8356 The source of this isolate was S.J.Roberts					needs_llm_review	Script identifier is not a supported prefix+number code in the free text.
NCPPB 4411	The donor reference is 8394 The source of this isolate was S.J.Roberts					needs_llm_review	Script identifier is not a supported prefix+number code in the free text.
NCPPB 4412	The donor reference is LMG 495 This isolate is also in the collections; LMG 495, ATCC 11765, CFBP 7686 This isolate was isolated by MK Patel	ATCC 11765; CFBP 7686; LMG 495	ATCC 11765; CFBP 7686; LMG 495			match	
NCPPB 4413	This isolate was isolated by h.stanford The source of this isolate was Diagnosis					match	
NCPPB 4414	The donor reference is Protect 1599 This isolate is also in the collections; B950367 The source of this isolate was Protect	B 950367; PROTECT 1599	B 950367; PROTECT 1599			match	Includes one-letter local strain code(s).
NCPPB 4415	The donor reference is Protect 766 This isolate is also in the collections; A4833/B The source of this isolate was Protect	A 4833/B; PROTECT 766	A 4833/B; PROTECT 766			match	Includes one-letter local strain code(s).
NCPPB 4416	The donor reference is Protect 765 This isolate is also in the collections; A4833/A The source of this isolate was Protect	A 4833/A; PROTECT 765	A 4833/A; PROTECT 765			match	Includes one-letter local strain code(s).
NCPPB 4418						match	
NCPPB 4433	The donor reference is 20709953 This isolate is also in the collections; Cabi 395428 This isolate was isolated by Cabi The source of this isolate was Cabi	CABI 395428	CABI 395428			match	Script identifier is not a supported prefix+number code in the free text.
NCPPB 4434	The donor reference is 20702295 This isolate is also in the collections; BXWK1	BXWK 1	BXWK 1			match	Script identifier is not a supported prefix+number code in the free text.
NCPPB 4435	The donor reference is 20722939					needs_llm_review	Script identifier is not a supported prefix+number code in the free text.
NCPPB 4446	The donor reference is ICMP 12167 This isolate is also in the collections; ICMP 12167, CFBP 7245 The source of this isolate was ICMP	CFBP 7245; ICMP 12167	CFBP 7245; ICMP 12167			match	
NCPPB 4448	The donor reference is CS283 This isolate is also in the collections; ICMP 16316	CS 283; ICMP 16316	CS 283; ICMP 16316			match	
NCPPB 4449	The donor reference is CS284 This isolate is also in the collections; ICMP 16317	CS 284; ICMP 16317	CS 284; ICMP 16317			match	
NCPPB 4450	The donor reference is A4832/1 This isolate is also in the collections; Protect 763 The source of this isolate was CSL	A 4832/1; PROTECT 763	A 4832/1; PROTECT 763			match	Includes one-letter local strain code(s).
NCPPB 4451	The donor reference is A4832/1 This isolate is also in the collections; Protect 764 The source of this isolate was CSL	A 4832/1; PROTECT 764	A 4832/1; PROTECT 764			match	Includes one-letter local strain code(s).
NCPPB 4466	The donor reference is 64A This isolate is also in the collections; WHRI 64A This isolate was isolated by John D. Taylor	WHRI 64A	WHRI 64A			match	Script identifier is not a supported prefix+number code in the free text.
NCPPB 4468	The donor reference is CSL972199 This isolate is also in the collections; P2431 This isolate was isolated by A. Aspin	CSL 972199; P 2431	CSL 972199; P 2431			match	Includes one-letter local strain code(s).
NCPPB 4584	The donor reference is NCPPB 2699 This isolate is also in the collections; LMG 588, 7384, ATCC 29090 This isolate was isolated by Dr Thomas Egli - 705	ATCC 29090; EGLI 705; LMG 588; NCPPB 2699	ATCC 29090; LMG 588; NCPPB 2699		EGLI 705	mismatch	Script also includes unsupported identifier(s).
NCPPB 4590	The donor reference is CFBP 3369 This isolate is also in the collections; CFBP 3369, LMG 9322, ICMP 15804, ATCC 49118, ICPB 10518 This isolate was isolated by Gabriel D. 3213 The source of this isolate was CFBP	ATCC 49118; CFBP 3369; D 3213; ICMP 15804; ICPB 10518; LMG 9322	ATCC 49118; CFBP 3369; ICMP 15804; ICPB 10518; LMG 9322		D 3213	mismatch	
NCPPB 4594	The donor reference is NYAGA S This isolate was isolated by Fred Kato					match	
NCPPB 4600	The donor reference is WHRI 8853 This isolate was isolated by Joana M. G. N. Vicente	WHRI 8853	WHRI 8853			match	
NCPPB 4601	The donor reference is WHRI 8848 This isolate was isolated by Joana M. G. N. Vicente	WHRI 8848	WHRI 8848			match	
NCPPB 4613	The donor reference is NE744 This isolate was isolated by Jillian M. Lang	NE 744	NE 744			match	
NCPPB 4614	The donor reference is SAM119 This isolate was isolated by Jillian M. Lang	SAM 119	SAM 119			match	
NCPPB 4615	The donor reference is B100 This isolate is also in the collections; CFBP 7306, ATCC 29497, DSMZ 1526 This isolate was isolated by Unknown	ATCC 29497; B 100; CFBP 7306; DSMZ 1526	ATCC 29497; B 100; CFBP 7306; DSMZ 1526			match	Includes one-letter local strain code(s).
NCPPB 4618	The donor reference is LMG 29033 This isolate is also in the collections; LMG 29033, ATCC 49119 This isolate was isolated by A. Vidaver	ATCC 49119; LMG 29033	ATCC 49119; LMG 29033			match	
NCPPB 4622	The donor reference is Protect 13 E6 This isolate was isolated by A. Aspin (21723449)	E 6; PROTECT 13	E 6; PROTECT 13			match	Includes one-letter local strain code(s).
NCPPB 4623	The donor reference is Protect OB Box 3 A6 This isolate was isolated by A. Aspin (21616370)	A 6; BOX 3	A 6; BOX 3			match	Includes one-letter local strain code(s).
NCPPB 4625	The donor reference is WHRI 8481, CSL 20313511 This isolate was isolated by H. Standford	CSL 20313511; WHRI 8481	CSL 20313511; WHRI 8481			match	
NCPPB 4629	The donor reference is ICMP 1921 This isolate is also in the collections; ICMP 1921,CFBP 7268, NZRCC 10647, PDDCC 1921 This isolate was isolated by Douglas W. Dye The source of this isolate was ICMP	CFBP 7268; ICMP 1921; NZRCC 10647; PDDCC 1921	CFBP 7268; ICMP 1921; NZRCC 10647; PDDCC 1921			match	
NCPPB 4630	The donor reference is ICMP 2374 This isolate is also in the collections; CFBP 7269, ICMP 2374, PDDCC 2374 This isolate was isolated by Douglas W. Dye ZZ22 The source of this isolate was ICMP	CFBP 7269; ICMP 2374; PDDCC 2374; ZZ 22	CFBP 7269; ICMP 2374; PDDCC 2374; ZZ 22			match	
NCPPB 4631	The donor reference is WHRI 8482, CSL 20313251 This isolate is also in the collections; WHRI 8482 This isolate was isolated by H. Stanford	CSL 20313251; WHRI 8482	CSL 20313251; WHRI 8482			match	
NCPPB 4632	The donor reference is ICMP 6041 This isolate is also in the collections; ICMP 6041, CFBP 7261 This isolate was isolated by D.R.W. Watson The source of this isolate was ICMP	CFBP 7261; ICMP 6041	CFBP 7261; ICMP 6041			match	
NCPPB 4633	The donor reference is ICMP 6759 This isolate is also in the collections; ICMP 6759, CFPB 7263 NZRCC 10646 PDDCC 6759 This isolate was isolated by J.M. Young The source of this isolate was ICMP	CFPB 7263; ICMP 6759; NZRCC 10646; PDDCC 6759	CFPB 7263; ICMP 6759; NZRCC 10646; PDDCC 6759			match	
NCPPB 4634	The donor reference is ICMP 13401 This isolate is also in the collections; ICMP 13401, CFBP 7271 This isolate was isolated by Robert K. Taylor The source of this isolate was ICMP	CFBP 7271; ICMP 13401	CFBP 7271; ICMP 13401			match	
NCPPB 4635	The donor reference is ICMP 4292 This isolate is also in the collections; ICMP 4292 This isolate was isolated by M. Goto (XT3)	ICMP 4292; XT 3	ICMP 4292; XT 3			match	
NCPPB 4660	The donor reference is WHRI 8891A This isolate was isolated by J G Vicente	WHRI 8891A	WHRI 8891A			match	
NCPPB 4661	The donor reference is WHRI 3811	WHRI 3811	WHRI 3811			match	
NCPPB 4662	The donor reference is WHRI 8909A This isolate was isolated by J G Vicente	WHRI 8909A	WHRI 8909A			match	
NCPPB 4663	The donor reference is WHRI 8960 This isolate was isolated by J G Vicente	WHRI 8960	WHRI 8960			match	
NCPPB 4664	The donor reference is WHRI 8959A This isolate was isolated by J G Vicente	WHRI 8959A	WHRI 8959A			match	
NCPPB 4665	The donor reference is WHRI 8964 This isolate was isolated by J G Vicente	WHRI 8964	WHRI 8964			match	
NCPPB 4666	The donor reference is WHRI 8984 This isolate was isolated by J G Vicente	WHRI 8984	WHRI 8984			match	
NCPPB 4668	The donor reference is WHRI 6181 This isolate was isolated by J G Vicente The source of this isolate was FERA	WHRI 6181	WHRI 6181			match	
NCPPB 4669	The donor reference is WHRI 8450A This isolate was isolated by B D Jensen The source of this isolate was FERA	WHRI 8450A	WHRI 8450A			match	
NCPPB 4670	The donor reference is WHRI 3849A This isolate was isolated by C I Kado The source of this isolate was FERA	WHRI 3849A	WHRI 3849A			match	
NCPPB 4671	The donor reference is WHRI 1279A This isolate was isolated by J D Taylor The source of this isolate was FERA	WHRI 1279A	WHRI 1279A			match	
NCPPB 4675	The donor reference is CPBF 424 This isolate is also in the collections; CPBF 424, LMG 31037, CCOS 1891 This isolate was isolated by C.Fernandes	CCOS 1891; CPBF 424; LMG 31037	CCOS 1891; CPBF 424; LMG 31037			match	
NCPPB 4676	The donor reference is CPBF 1521 This isolate is also in the collections; CBPF 1521, LMG 31040, CCOS 1894 This isolate was isolated by C.Fernandes	CBPF 1521; CCOS 1894; CPBF 1521; LMG 31040	CBPF 1521; CCOS 1894; CPBF 1521; LMG 31040			match	
NCPPB 4678	The donor reference is Xc6 This isolate was isolated by Tatjana Popović	XC 6	XC 6			match	
NCPPB 4679	The donor reference is Xc9 This isolate was isolated by Tatjana Popović	XC 9	XC 9			match	
NCPPB 4680	The donor reference is Xc23 This isolate was isolated by Tatjana Popović	XC 23	XC 23			match	
NCPPB 4681	The donor reference is Xc27 This isolate was isolated by Tatjana Popović	XC 27	XC 27			match	
NCPPB 4682	The donor reference is Xc318 This isolate was isolated by Tatjana Popović	XC 318	XC 318			match	
NCPPB 4692	The donor reference is GBBC 2123 This isolate is also in the collections; LMG 31884, CCOS 1956 This isolate was isolated by Johan Van Vaerenbergh	CCOS 1956; GBBC 2123; LMG 31884	CCOS 1956; GBBC 2123; LMG 31884			match	
NCPPB 4693	The donor reference is GBBC 2199 This isolate is also in the collections; LMG 31886, CCOS 1957 This isolate was isolated by Johan Van Vaerenbergh	CCOS 1957; GBBC 2199; LMG 31886	CCOS 1957; GBBC 2199; LMG 31886			match	
NCPPB 4698	The donor reference is 1294-6 This isolate was isolated by Steven T. Koike					needs_llm_review	Script identifier is not a supported prefix+number code in the free text.
NCPPB 4699	The donor reference is 0894-4 This isolate was isolated by Hamid Azad					needs_llm_review	Script identifier is not a supported prefix+number code in the free text.
NCPPB 4700	The donor reference is 1294-9 This isolate was isolated by Steven T. Koike					needs_llm_review	Script identifier is not a supported prefix+number code in the free text.
NCPPB 4701	This isolate is also in the collections; CFBP 5686-20	CFBP 5686-20	CFBP 5686-20			match	
NCPPB 4702	This isolate is also in the collections; CFBP 1371-04 This isolate was isolated by Bonnet P.	CFBP 1371-04	CFBP 1371-04			match	
NCPPB 4703	This isolate is also in the collections; CFBP 1606-13 This isolate was isolated by Paulin J.P.	CFBP 1606-13	CFBP 1606-13			match	
NCPPB 4704	The donor reference is Co-126-2	CO 126-2	CO 126-2			match	
NCPPB 4705	The donor reference is Arg-1A	ARG 1A	ARG 1A			match	
NCPPB 4706	The donor reference is CO-8	CO 8	CO 8			match	
NCPPB 4707	The donor reference is ARG-3A	ARG 3A	ARG 3A			match	
NCPPB 4708	The donor reference is IL02(1)YDC	IL 02	IL 02			match	
NCPPB 4709	The donor reference is NE-18 Xvh	NE 18	NE 18			match	
NCPPB 4710	The donor reference is Arg-2B	ARG 2B	ARG 2B			match	
NCPPB 4711	The donor reference is NE-7	NE 7	NE 7			match	
NCPPB 4712	The donor reference is ARG-6B	ARG 6B	ARG 6B			match	
NCPPB 4713	The donor reference is IL-1(1)YDC	IL 1	IL 1			match	
NCPPB 4714	The donor reference is ARG 4B	ARG 4B	ARG 4B			match	
NCPPB 4715	The donor reference is IAO2	IAO 2	IAO 2			match	
NCPPB 4716	The donor reference is NE-16	NE 16	NE 16			match	
NCPPB 4717	The donor reference is 10197-90 This isolate is also in the collections; ICMP 10197 This isolate was isolated by P. Heise The source of this isolate was ICMP	ICMP 10197	ICMP 10197			match	Script identifier is not a supported prefix+number code in the free text.
NCPPB 4718	The donor reference is 10194-90 This isolate is also in the collections; ICMP 10194 This isolate was isolated by P. Heise The source of this isolate was ICMP	ICMP 10194	ICMP 10194			match	Script identifier is not a supported prefix+number code in the free text.
NCPPB 4719	The donor reference is ICMP 10195 This isolate was isolated by P. Heise The source of this isolate was ICMP	ICMP 10195	ICMP 10195			match	
NCPPB 4720	The donor reference is ICMP 8410-83 This isolate is also in the collections; ICMP 8410 This isolate was isolated by R. Easwaramurthy The source of this isolate was ICMP	ICMP 8410; ICMP 8410-83	ICMP 8410; ICMP 8410-83			match	
NCPPB 4721	The donor reference is 13093-96 This isolate is also in the collections; ICMP 13093 This isolate was isolated by J.R. Neto The source of this isolate was ICMP	ICMP 13093	ICMP 13093			match	Script identifier is not a supported prefix+number code in the free text.
NCPPB 4722	The donor reference is 9262-87 This isolate is also in the collections; ICMP 9262 This isolate was isolated by J.R. Neto The source of this isolate was ICMP	ICMP 9262	ICMP 9262			match	Script identifier is not a supported prefix+number code in the free text.
NCPPB 4727	The donor reference is ICMP 8883 This isolate is also in the collections; ICMP 8883 The source of this isolate was ICMP	ICMP 8883	ICMP 8883			match	
NCPPB 4728	The donor reference is ICMP 8884 This isolate is also in the collections; ICMP 8884 The source of this isolate was ICMP	ICMP 8884	ICMP 8884			match	
NCPPB 4729	The donor reference is ICMP 13091 This isolate was isolated by J.R. Neto The source of this isolate was ICMP	ICMP 13091	ICMP 13091			match	
NCPPB 4730	The donor reference is ICMP 11134 This isolate is also in the collections; ICMP 11134 The source of this isolate was ICMP	ICMP 11134	ICMP 11134			match	
NCPPB 4731	The donor reference is ICMP 12321 This isolate is also in the collections; ICMP 12321 The source of this isolate was ICMP	ICMP 12321	ICMP 12321			match	
NCPPB 4732	The donor reference is ICMP 8789 This isolate is also in the collections; ICMP 8789, PDDCC 8789 This isolate was isolated by Z. Fang The source of this isolate was ICMP	ICMP 8789; PDDCC 8789	ICMP 8789; PDDCC 8789			match	
NCPPB 4733	The donor reference is ICMP 8412 This isolate is also in the collections; ICMP 8412, PDDCC 8412 This isolate was isolated by R. Easwaramurthy The source of this isolate was ICMP	ICMP 8412; PDDCC 8412	ICMP 8412; PDDCC 8412			match	
NCPPB 4753	The donor reference is CFBP 8353 This isolate is also in the collections; CFBP 8353, CECT 9404, IVIA 3287.1 This isolate was isolated by Lopez et al The source of this isolate was CFBP	CECT 9404; CFBP 8353; IVIA 3287.1	CECT 9404; CFBP 8353; IVIA 3287.1			match	
NCPPB 4754	The donor reference is CFBP 8354 This isolate is also in the collections; CFBP 8354, CECT 9405, IVIA 3287.2 This isolate was isolated by Maria M. Lopez The source of this isolate was CFBP	CECT 9405; CFBP 8354; IVIA 3287.2	CECT 9405; CFBP 8354; IVIA 3287.2			match	
NCPPB 4755	The donor reference is CFBP 8355 This isolate is also in the collections; CFBP 8355, CECT 9406, IVIA 3287.3 This isolate was isolated by Maria M. Lopez The source of this isolate was CFBP	CECT 9406; CFBP 8355; IVIA 3287.3	CECT 9406; CFBP 8355; IVIA 3287.3			match	
